2024-03-15 11:32:45.501 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#6-51] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@7ccfa64b: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:45.500 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#9-51] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@549a3c98: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:45.502 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#7-51] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@5431fb37: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:45.502 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#5-51] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@6d406214: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:45.568 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#8-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.283 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#3-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.284 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#6-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.285 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.286 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#9-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.286 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.286 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.287 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#7-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.289 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#5-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:46.290 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#4-52] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-15 11:32:51.301 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#9-52] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@4599210: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:51.301 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-52] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1e2f55f3: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:51.301 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#5-52] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@50f7d64e: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:51.302 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#7-52] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@58643f6d: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:51.302 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#4-52] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@778f6093: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:51.302 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-52] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@292702: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:51.302 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-52] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1e24aad5: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-15 11:32:51.303 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#3-52] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@18fd96cf: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

