2024-03-08 11:09:26.156 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-77] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:09:26.165 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-77] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:09:31.214 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-77] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@708e9d46: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:09:31.216 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-78] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:09:31.293 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-77] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@4de06ce2: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:09:31.293 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-77] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@4333b179: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:09:31.944 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=13h6m35s586ms268µs200ns).

2024-03-08 11:09:52.618 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-78] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:09:57.733 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-78] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-08 11:09:57.733 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-78] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@93fa34c: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:10:13.929 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-78] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:10:19.049 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-78] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-08 11:10:19.049 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-78] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@7c7dd596: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:10:34.975 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-79] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:10:40.083 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-78] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-08 11:10:40.083 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-78] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@51ba6e94: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:10:56.140 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-79] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:11:01.271 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-79] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-08 11:11:01.272 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-79] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1d939830: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:11:17.193 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-79] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:11:22.327 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-79] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-08 11:11:22.328 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-79] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@541c43e0: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:11:38.248 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-80] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:11:43.306 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-79] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-08 11:11:43.307 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-79] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@7955def1: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:11:59.298 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-80] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-08 11:12:04.407 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-80] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-08 11:12:04.408 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-80] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@5cf9f25f: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-08 11:12:07.683 [MessageBroker-1] INFO  o.s.w.s.c.WebSocketMessageBrokerStats - WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 4, active threads = 1, queued tasks = 0, completed tasks = 3]

