2024-02-23 10:58:05.894 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2c5b4b91, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@51eeae0a, org.springframework.security.web.context.SecurityContextHolderFilter@55ba4bff, org.springframework.security.web.header.HeaderWriterFilter@1f5a1ad4, org.springframework.web.filter.CorsFilter@76c2d002, org.springframework.security.web.authentication.logout.LogoutFilter@8bb5c2a, com.example.demo.Config.JwtAuthenticationFilter@13087c75, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2284058a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@5b11d0d8, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@55589ef5, org.springframework.security.web.session.SessionManagementFilter@237824b0, org.springframework.security.web.access.ExceptionTranslationFilter@5bbf3869, org.springframework.security.web.access.intercept.AuthorizationFilter@2af1bf5a]
2024-02-23 10:58:06.257 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-192.168.1.46-8080"]
2024-02-23 10:58:06.283 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-02-23 10:58:06.293 [main] INFO  com.example.demo.DemoApplication - Started DemoApplication in 8.335 seconds (process running for 9.46)
2024-02-23 11:05:31.529 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-02-23 11:05:31.558 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-02-23 11:05:31.573 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2024-02-23 11:06:00.231 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.demo.DemoApplicationTests]: DemoApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2024-02-23 11:06:00.419 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.demo.DemoApplication for test class com.example.demo.DemoApplicationTests
2024-02-23 11:06:00.972 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2024-02-23 11:06:01.029 [main] INFO  c.example.demo.DemoApplicationTests - Starting DemoApplicationTests using Java 21.0.2 with PID 2948 (started by Julius in D:\Latest_explora_rosa)
2024-02-23 11:06:01.056 [main] INFO  c.example.demo.DemoApplicationTests - No active profile set, falling back to 1 default profile: "default"
2024-02-23 11:06:03.399 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2024-02-23 11:06:03.399 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
2024-02-23 11:06:03.470 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JDBC - Could not safely identify store assignment for repository candidate interface com.example.demo.Repositories.AccountTypeRepository; If you want this repository to be a JDBC repository, consider annotating your entities with one of these annotations: org.springframework.data.relational.core.mapping.Table.
