2024-03-11 12:17:11.824 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5465] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:17:11.824 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5465] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@1a7f7e01: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:17:27.784 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5468] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:17:32.887 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5465] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:17:32.887 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5465] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@7b0f986: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:17:48.825 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5466] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:17:53.899 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5468] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:17:53.899 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5468] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@e8c6183: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:18:09.991 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5466] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:18:15.171 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5466] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:18:15.171 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5466] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@32c5a4cc: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:18:31.492 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5469] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:18:36.595 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5466] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:18:36.596 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5466] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@282f3294: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:18:52.714 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5467] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:18:57.910 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5469] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:18:57.910 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5469] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@4072c368: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:19:13.968 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5467] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:19:19.001 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5467] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:19:19.001 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5467] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@29256322: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:19:35.261 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5470] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:19:40.410 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5467] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:19:40.410 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5467] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@63c7bc46: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:19:56.289 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5468] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:20:01.292 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5470] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:20:01.292 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5470] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@489dfd78: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:20:17.315 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5468] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:20:22.323 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5468] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:20:22.323 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5468] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@23dcfeb7: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:20:38.369 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5471] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:20:43.381 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5468] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:20:43.381 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5468] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@7b93c1e9: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:20:59.408 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5469] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:21:04.441 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5471] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:21:04.441 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5471] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@4c4bff22: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:21:20.456 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#1-5469] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

2024-03-11 12:21:25.459 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5469] WARN  o.s.a.r.l.SimpleMessageListenerContainer - Consumer raised exception, processing can restart if the connection factory supports it. Exception summary: org.springframework.amqp.AmqpConnectException: java.net.ConnectException: Connection timed out: getsockopt

2024-03-11 12:21:25.459 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#2-5469] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@5a909299: tags=[[]], channel=null, acknowledgeMode=AUTO local queue size=0

2024-03-11 12:21:41.485 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-5472] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.1.46:5672]

